entity_id,product,product_status,price_convert,quantity_convert
1,PTF-USD,tradeable,4,4
2,BTC-USD-INDEX,display_only,6,8
4,ETH-USD-INDEX,display_only,6,8
6,BTC-ETH-INDEX,display_only,8,8
7,BTC-USD,tradeable,2,8
8,ETH-USD,tradeable,4,6
10,BTC-ETH,display_only,2,8
16,BTC-USD-PERPETUAL,tradeable,2,8
452,ETH-USD-PERPETUAL,tradeable,4,6
14335,TKING-USD,tradeable,8,2
17850,SOL-USD,tradeable,4,6
17851,AVAX-USD,tradeable,4,6
19564,AVAX-USD-INDEX,display_only,10,10
19565,SOL-USD-INDEX,display_only,10,10
19566,AVAX-USD-PERPETUAL,tradeable,4,6
19567,SOL-USD-PERPETUAL,tradeable,4,6
20242,PTF-USD-INDEX,display_only,10,10
20243,PTF-USD-PERPETUAL,tradeable,4,6
41904,BNB-USD-INDEX,display_only,4,2
41905,BNB-USD,non_tradeable,4,4
41906,BNB-USD-PERPETUAL,tradeable,4,4
41951,XRP-USD-INDEX,display_only,8,2
41952,XRP-USD,non_tradeable,6,4
41953,XRP-USD-PERPETUAL,tradeable,6,2
41996,DOGE-USD-INDEX,display_only,8,2
41997,DOGE-USD,non_tradeable,6,4
41998,DOGE-USD-PERPETUAL,tradeable,7,2
43229,MATIC-USD-INDEX,display_only,8,2
43230,MATIC-USD,non_tradeable,6,2
43231,MATIC-USD-PERPETUAL,tradeable,6,2
43254,NEAR-USD-INDEX,display_only,4,2
43255,NEAR-USD,non_tradeable,6,2
43256,NEAR-USD-PERPETUAL,tradeable,5,2
43279,MMSHIB-USD-INDEX,display_only,4,2
43280,MMSHIB-USD,non_tradeable,4,2
43281,MMSHIB-USD-PERPETUAL,tradeable,4,2
43306,MMPEPE-USD-INDEX,display_only,4,2
43307,MMPEPE-USD,non_tradeable,4,2
43308,MMPEPE-USD-PERPETUAL,tradeable,4,2
43329,LINK-USD-INDEX,display_only,4,2
43330,LINK-USD,non_tradeable,6,2
43331,LINK-USD-PERPETUAL,tradeable,5,2
43354,APE-USD-INDEX,display_only,4,2
43355,APE-USD,non_tradeable,6,2
43356,APE-USD-PERPETUAL,tradeable,5,2
43379,FIL-USD-INDEX,display_only,4,2
43380,FIL-USD,non_tradeable,6,2
43381,FIL-USD-PERPETUAL,tradeable,6,2
43404,ADA-USD-INDEX,display_only,8,2
43405,ADA-USD,non_tradeable,6,2
43406,ADA-USD-PERPETUAL,tradeable,6,2
43429,DOT-USD-INDEX,display_only,4,2
43430,DOT-USD,non_tradeable,6,2
43431,DOT-USD-PERPETUAL,tradeable,5,2
43452,LTC-USD-INDEX,display_only,4,2
43453,LTC-USD,non_tradeable,6,2
43454,LTC-USD-PERPETUAL,tradeable,4,3
43477,ARB-USD-INDEX,display_only,8,2
43478,ARB-USD,non_tradeable,6,2
43479,ARB-USD-PERPETUAL,tradeable,6,2
44208,ETC-USD-INDEX,display_only,4,2
44209,ETC-USD,non_tradeable,4,4
44210,ETC-USD-PERPETUAL,tradeable,5,3
44233,TON-USD-INDEX,display_only,4,2
44234,TON-USD,non_tradeable,4,4
44235,TON-USD-PERPETUAL,tradeable,6,3
44258,INJ-USD-INDEX,display_only,4,2
44259,INJ-USD,non_tradeable,4,4
44260,INJ-USD-PERPETUAL,tradeable,6,3
44285,GALA-USD-INDEX,display_only,8,2
44286,GALA-USD,non_tradeable,8,2
44287,GALA-USD-PERPETUAL,tradeable,7,2
44312,SUI-USD-INDEX,display_only,8,2
44313,SUI-USD,non_tradeable,6,2
44314,SUI-USD-PERPETUAL,tradeable,7,2
44337,BCH-USD-INDEX,display_only,4,2
44338,BCH-USD,non_tradeable,3,5
44339,BCH-USD-PERPETUAL,tradeable,4,4
44362,AXS-USD-INDEX,display_only,4,2
44363,AXS-USD,non_tradeable,4,4
44364,AXS-USD-PERPETUAL,tradeable,5,3
44387,WLD-USD-INDEX,display_only,4,2
44388,WLD-USD,non_tradeable,4,2
44389,WLD-USD-PERPETUAL,tradeable,5,3
51982,BTC-20241227-10000C,tradeable,2,4
51983,BTC-20241227-10000P,tradeable,2,4
51984,BTC-20241227-15000P,tradeable,2,4
51985,BTC-20241227-25000C,tradeable,2,4
51986,BTC-20241227-29000C,tradeable,2,4
51987,BTC-20241227-29000P,tradeable,2,4
51988,BTC-20241227-30000P,tradeable,2,4
51989,BTC-20241227-31000P,tradeable,2,4
51990,BTC-20241227-33000C,tradeable,2,4
51991,BTC-20241227-33000P,tradeable,2,4
51992,BTC-20241227-36000C,tradeable,2,4
51993,BTC-20241227-36000P,tradeable,2,4
51994,BTC-20241227-37000C,tradeable,2,4
51995,BTC-20241227-37000P,tradeable,2,4
51996,BTC-20241227-40000C,tradeable,2,4
51997,BTC-20241227-40000P,tradeable,2,4
51998,BTC-20241227-41000P,tradeable,2,4
51999,BTC-20241227-42000P,tradeable,2,4
52000,BTC-20241227-42000C,tradeable,2,4
52001,BTC-20241227-43000P,tradeable,2,4
52002,BTC-20241227-44000C,tradeable,2,4
52003,BTC-20241227-44000P,tradeable,2,4
52004,BTC-20241227-46000P,tradeable,2,4
52005,BTC-20241227-47000P,tradeable,2,4
52006,BTC-20241227-47000C,tradeable,2,4
52007,BTC-20241227-48000C,tradeable,2,4
52008,BTC-20241227-49000C,tradeable,2,4
52009,BTC-20241227-51000C,tradeable,2,4
52010,BTC-20241227-53000P,tradeable,2,4
52011,BTC-20241227-52000C,tradeable,2,4
52012,BTC-20241227-51000P,tradeable,2,4
52013,BTC-20241227-52000P,tradeable,2,4
52014,BTC-20241227-54000C,tradeable,2,4
52015,BTC-20241227-57000P,tradeable,2,4
52016,BTC-20241227-70000P,tradeable,2,4
52017,BTC-20241227-85000P,tradeable,2,4
52018,BTC-20241227-90000P,tradeable,2,4
52019,BTC-20241227-65000P,tradeable,2,4
52020,BTC-20241227-80000C,tradeable,2,4
52021,BTC-20241227-95000P,tradeable,2,4
52023,BTC-20241227-105000C,tradeable,2,4
52024,BTC-20241227-140000P,tradeable,2,4
52025,BTC-20241227-125000C,tradeable,2,4
52026,BTC-20241227-120000P,tradeable,2,4
52027,BTC-20241227-140000C,tradeable,2,4
52028,BTC-20241227-110000P,tradeable,2,4
52086,BTC-20241227-15000C,tradeable,2,4
52087,BTC-20241227-20000C,tradeable,2,4
52088,BTC-20241227-20000P,tradeable,2,4
52089,BTC-20241227-25000P,tradeable,2,4
52090,BTC-20241227-30000C,tradeable,2,4
52091,BTC-20241227-31000C,tradeable,2,4
52092,BTC-20241227-32000C,tradeable,2,4
52093,BTC-20241227-32000P,tradeable,2,4
52094,BTC-20241227-34000C,tradeable,2,4
52095,BTC-20241227-34000P,tradeable,2,4
52096,BTC-20241227-35000C,tradeable,2,4
52097,BTC-20241227-35000P,tradeable,2,4
52098,BTC-20241227-38000C,tradeable,2,4
52099,BTC-20241227-38000P,tradeable,2,4
52100,BTC-20241227-39000C,tradeable,2,4
52101,BTC-20241227-39000P,tradeable,2,4
52102,BTC-20241227-41000C,tradeable,2,4
52103,BTC-20241227-43000C,tradeable,2,4
52104,BTC-20241227-46000C,tradeable,2,4
52105,BTC-20241227-45000P,tradeable,2,4
52106,BTC-20241227-45000C,tradeable,2,4
52107,BTC-20241227-48000P,tradeable,2,4
52108,BTC-20241227-50000P,tradeable,2,4
52109,BTC-20241227-49000P,tradeable,2,4
52110,BTC-20241227-50000C,tradeable,2,4
52111,BTC-20241227-53000C,tradeable,2,4
52112,BTC-20241227-57000C,tradeable,2,4
52113,BTC-20241227-55000C,tradeable,2,4
52114,BTC-20241227-55000P,tradeable,2,4
52115,BTC-20241227-54000P,tradeable,2,4
52116,BTC-20241227-56000C,tradeable,2,4
52117,BTC-20241227-56000P,tradeable,2,4
52118,BTC-20241227-60000C,tradeable,2,4
52119,BTC-20241227-75000C,tradeable,2,4
52120,BTC-20241227-65000C,tradeable,2,4
52121,BTC-20241227-85000C,tradeable,2,4
52122,BTC-20241227-90000C,tradeable,2,4
52123,BTC-20241227-80000P,tradeable,2,4
52124,BTC-20241227-60000P,tradeable,2,4
52125,BTC-20241227-75000P,tradeable,2,4
52126,BTC-20241227-70000C,tradeable,2,4
52127,BTC-20241227-100000P,tradeable,2,4
52128,BTC-20241227-100000C,tradeable,2,4
52129,BTC-20241227-95000C,tradeable,2,4
52130,BTC-20241227-180000C,tradeable,2,4
52131,BTC-20241227-160000C,tradeable,2,4
52132,BTC-20241227-120000C,tradeable,2,4
52133,BTC-20241227-125000P,tradeable,2,4
52134,BTC-20241227-110000C,tradeable,2,4
52135,BTC-20241227-115000P,tradeable,2,4
52136,BTC-20241227-160000P,tradeable,2,4
52137,BTC-20241227-105000P,tradeable,2,4
52138,BTC-20241227-180000P,tradeable,2,4
52139,BTC-20241227-115000C,tradeable,2,4
52200,ETH-20241227-400C,tradeable,3,3
52201,ETH-20241227-400P,tradeable,3,3
52202,ETH-20241227-600C,tradeable,3,3
52203,ETH-20241227-600P,tradeable,3,3
52204,ETH-20241227-800C,tradeable,3,3
52205,ETH-20241227-800P,tradeable,3,3
52206,ETH-20241227-1000C,tradeable,3,3
52207,ETH-20241227-1000P,tradeable,3,3
52208,ETH-20241227-1200C,tradeable,3,3
52209,ETH-20241227-1200P,tradeable,3,3
52210,ETH-20241227-1400C,tradeable,3,3
52211,ETH-20241227-1400P,tradeable,3,3
52212,ETH-20241227-1600C,tradeable,3,3
52213,ETH-20241227-1600P,tradeable,3,3
52214,ETH-20241227-1800C,tradeable,3,3
52215,ETH-20241227-1800P,tradeable,3,3
52216,ETH-20241227-2000C,tradeable,3,3
52217,ETH-20241227-2000P,tradeable,3,3
52218,ETH-20241227-2100C,tradeable,3,3
52219,ETH-20241227-2100P,tradeable,3,3
52220,ETH-20241227-2200C,tradeable,3,3
52221,ETH-20241227-2200P,tradeable,3,3
52222,ETH-20241227-2300C,tradeable,3,3
52223,ETH-20241227-2300P,tradeable,3,3
52224,ETH-20241227-2400C,tradeable,3,3
52225,ETH-20241227-2400P,tradeable,3,3
52226,ETH-20241227-2500C,tradeable,3,3
52227,ETH-20241227-2500P,tradeable,3,3
52228,ETH-20241227-2600C,tradeable,3,3
52229,ETH-20241227-2600P,tradeable,3,3
52230,ETH-20241227-2700C,tradeable,3,3
52231,ETH-20241227-2700P,tradeable,3,3
52232,ETH-20241227-2800C,tradeable,3,3
52233,ETH-20241227-2800P,tradeable,3,3
52234,ETH-20241227-3000C,tradeable,3,3
52235,ETH-20241227-3000P,tradeable,3,3
52236,ETH-20241227-3200C,tradeable,3,3
52237,ETH-20241227-3200P,tradeable,3,3
52238,ETH-20241227-3500C,tradeable,3,3
52239,ETH-20241227-3500P,tradeable,3,3
52240,ETH-20241227-4500C,tradeable,3,3
52241,ETH-20241227-4000C,tradeable,3,3
52242,ETH-20241227-4000P,tradeable,3,3
52243,ETH-20241227-4500P,tradeable,3,3
52244,ETH-20241227-5000C,tradeable,3,3
52245,ETH-20241227-5000P,tradeable,3,3
52246,ETH-20241227-5500C,tradeable,3,3
52247,ETH-20241227-5500P,tradeable,3,3
52248,ETH-20241227-6000C,tradeable,3,3
52249,ETH-20241227-6000P,tradeable,3,3
52250,ETH-20241227-6500C,tradeable,3,3
52251,ETH-20241227-6500P,tradeable,3,3
52252,ETH-20241227-7000C,tradeable,3,3
52253,ETH-20241227-7500P,tradeable,3,3
52254,ETH-20241227-7000P,tradeable,3,3
52255,ETH-20241227-7500C,tradeable,3,3
